,Issue Id,Assignee_email,Reporter_email,Creation Date,Close Date,Estimated Time,Actual Time
2924,79337068,int_367,int_436,2021-02-18T11:07:16.258Z,2021-02-28T10:24:52.969Z,21600,21600.0
2925,79330008,int_291,int_291,2021-02-18T09:53:23.116Z,2021-02-18T14:16:21.024Z,0,0.0
2926,79329766,int_159,int_159,2021-02-18T09:49:29.597Z,2021-03-02T09:31:28.048Z,14400,14400.0
2927,79328171,int_343,int_254,2021-02-18T09:31:16.008Z,2021-02-21T06:44:09.024Z,1800,1800.0
2928,79328158,int_256,int_254,2021-02-18T09:31:00.343Z,2021-02-21T07:25:42.869Z,1800,900.0
2929,79325739,int_291,int_291,2021-02-18T08:58:02.752Z,2021-02-18T11:11:01.886Z,0,0.0
2930,79322782,,int_436,2021-02-18T08:14:35.339Z,,0,0.0
2931,79322668,,int_436,2021-02-18T08:12:20.561Z,,0,0.0
2932,79319888,int_307,int_307,2021-02-18T07:27:12.506Z,2021-02-18T07:46:04.032Z,0,0.0
2933,79280328,int_280,int_34,2021-02-17T15:38:23.208Z,2021-02-21T08:46:35.446Z,0,0.0
2934,79280128,int_280,int_34,2021-02-17T15:35:39.614Z,2021-02-22T12:31:25.160Z,1200,0.0
2935,79280066,int_280,int_34,2021-02-17T15:34:42.619Z,2021-02-22T12:32:28.102Z,1200,0.0
2936,79279923,int_280,int_34,2021-02-17T15:31:48.142Z,2021-02-22T15:14:08.107Z,1200,1200.0
2937,79279814,int_349,int_349,2021-02-17T15:30:32.288Z,2021-03-21T07:38:35.161Z,14400,14400.0
2938,79279791,int_280,int_34,2021-02-17T15:30:08.250Z,2021-02-22T15:03:50.449Z,600,600.0
2939,79279768,int_349,int_349,2021-02-17T15:29:52.919Z,2021-03-21T07:38:37.530Z,14400,14400.0
2940,79279655,int_349,int_349,2021-02-17T15:28:56.927Z,2021-03-21T07:38:36.268Z,14400,14400.0
2941,79279564,int_349,int_349,2021-02-17T15:27:55.527Z,2021-03-21T07:38:34.058Z,28800,21600.0
2942,79279664,int_280,int_34,2021-02-17T15:27:21.409Z,2021-02-22T15:03:52.393Z,0,0.0
2943,79279531,int_280,int_34,2021-02-17T15:27:21.409Z,2021-02-17T15:29:02.164Z,0,0.0
2944,81845031,int_340,int_340,2021-02-17T15:22:43.263Z,,0,7200.0
2945,79279180,int_340,int_340,2021-02-17T15:22:43.263Z,2021-03-29T12:33:24.260Z,0,7200.0
2946,79278000,int_378,int_378,2021-02-17T15:01:18.492Z,2021-02-28T08:33:46.723Z,144000,115200.0
2947,79277398,int_4,int_4,2021-02-17T14:52:00.181Z,2021-02-17T15:22:07.094Z,0,0.0
