,date_time_utc,event_id,recipient_address,recipient_status,sender_address
5007,2021-02-02T13:18:05.8140000Z,RECIPIENTINFO,int_2;,UserMailbox.Forwardable.Resolver.CreateRecipientItems.40,int_1
5008,2021-02-14T12:12:28.9000000Z,SENDEXTERNAL,ext_117;ext_117;,250 2.0.0 RCPT TO accepted;250 2.0.0 RCPT TO accepted,int_79
5009,2021-02-04T08:22:51.8480000Z,RECIPIENTINFO,int_2;,UserMailbox.Forwardable.Resolver.CreateRecipientItems.40,int_2
5010,2021-02-04T13:44:35.2960000Z,TRANSFER,ext_239;ext_239;ext_239;ext_239;ext_239;,;;;;,int_184
5011,2021-02-03T16:21:12.2140000Z,RESUBMIT,ext_257;ext_257;ext_257;ext_257;ext_257;ext_257;,Message forked,int_147
5012,2021-02-21T11:50:09.4180000Z,RECEIVE,int_40;,Unknown,int_1
5013,2021-02-14T14:31:10.0140000Z,RECIPIENTINFO,int_30;,UserMailbox.Forwardable.Resolver.CreateRecipientItems.40,int_31
5014,2021-02-14T13:23:07.5680000Z,RECEIVE,ext_55;,,int_1
5015,2021-02-04T11:42:48.6850000Z,AGENTINFO,ext_55;ext_55;ext_55;ext_55;ext_55;ext_55;ext_55;ext_55;ext_55;ext_55;ext_55;,,int_1
5016,2021-02-25T13:43:35.3090000Z,AGENTINFO,ext_55;,,int_1
5017,2021-02-09T08:16:31.1820000Z,RECIPIENTINFO,int_30;,UserMailbox.Forwardable.Resolver.CreateRecipientItems.40,int_261
5018,2021-02-04T08:32:04.7730000Z,RESUBMIT,ext_207;ext_207;ext_207;ext_207;ext_207;,Message forked,int_42
5019,2021-02-21T21:43:47.0780000Z,SETROUTE,ext_251;,,int_231
5020,2021-02-24T07:31:49.4650000Z,TRANSFER,ext_250;,,int_202
5021,2021-02-02T07:22:05.6050000Z,RECEIVE,int_222;,,int_1
5022,2021-02-14T12:12:12.4680000Z,AGENTINFO,int_267;int_81;int_24;int_82;,,int_248
5023,2021-02-03T16:21:12.2220000Z,RECIPIENTINFO,ext_257;ext_257;ext_257;ext_257;ext_257;ext_257;,'NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;MailUser.Contact.Resolver.CreateRecipientItems.30',int_147
5024,2021-02-02T10:06:08.6450000Z,AGENTINFO,int_8;int_7;int_2;,,int_1
5025,2021-02-25T13:43:35.3170000Z,AGENTINFO,ext_55;,,int_1
5026,2021-02-14T12:12:26.2210000Z,SETROUTE,ext_243;,,int_79
5027,2021-02-14T16:14:15.2230000Z,RECEIVE,int_260;int_244;int_259;int_147;int_266;int_262;int_247;int_265;,To;To;To;To;To;To;To;To,int_214
5028,2021-02-14T16:14:16.8310000Z,TRANSFER,int_244;,,int_214
5029,2021-02-21T08:43:12.1220000Z,CLIENTSUBMISSION,int_145;,,int_1
5030,2021-02-02T11:25:17.0680000Z,DELIVER,int_76;,PS-Support-Mailbox Rules Agent,int_1
5031,2021-02-24T08:20:17.9950000Z,RECEIVE,ext_55;,,int_1
5032,2021-02-17T06:24:10.9590000Z,RESUBMIT,ext_197;ext_197;ext_197;,Message forked,int_90
5033,2021-02-02T13:55:02.3130000Z,DELIVER,int_8;,,int_141
5034,2021-02-21T08:41:08.3860000Z,SUBMIT,int_2;,,int_1
5035,2021-02-23T15:41:44.6480000Z,AGENTINFO,int_8;int_7;int_5;int_5;int_2;,,int_54
5036,2021-02-24T07:31:49.5040000Z,AGENTINFO,ext_250;,,int_202
5037,2021-02-24T15:02:12.9310000Z,SUBMIT,int_236;,,int_1
5038,2021-02-15T06:51:45.0910000Z,DELIVER,int_53;,HelpDesk-Mailbox Rules Agent,int_1
5039,2021-02-17T06:24:10.9670000Z,RECIPIENTINFO,ext_197;ext_197;ext_197;,'NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10',int_90
5040,2021-02-02T13:34:06.3220000Z,AGENTINFO,int_4;,,int_1
5041,2021-02-14T14:21:38.6070000Z,DELIVER,int_87;,,int_11
5042,2021-02-14T06:24:19.2310000Z,SUBMIT,int_5;,,int_1
5043,2021-02-23T16:02:22.5540000Z,RECIPIENTINFO,int_8;int_7;int_5;int_5;int_2;,'UserMailbox.Forwardable.Resolver.CreateRecipientItems.40;MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70;MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40',int_54
5044,2021-02-04T11:42:48.9610000Z,SETROUTE,ext_55;,,int_1
5045,2021-02-02T00:34:11.8810000Z,DELIVER,int_58;,,int_1
5046,2021-02-04T08:02:20.3050000Z,AGENTINFO,int_173;,,int_1
5047,2021-02-14T16:14:16.6370000Z,DELIVER,int_266;,,int_214
5048,2021-02-21T07:19:11.3750000Z,DELIVER,int_70;,,int_1
