,Assignee_email,total_tasks,sender_address,recipients_addresses,recipients_addresses_count
32,int_209,42,,,
33,int_210,114,,,
34,int_220,7,,,
35,int_236,9,int_236,"['int_297', 'int_297', 'int_297', 'int_297', 'int_297', 'int_297', 'int_297']",7.0
36,int_238,17,int_238,"['int_206', 'int_168', 'int_206', 'int_168', 'ext_55', 'int_206', 'int_168', 'int_206', 'int_168', 'ext_55', 'ext_55', 'ext_55', 'ext_55', 'ext_55', 'int_206', 'int_168', 'int_206', 'int_168', 'int_206', 'int_168', 'ext_55', 'int_206', 'int_168', 'int_168', 'ext_55', 'int_206', 'int_168', 'int_206', 'int_168', 'int_206', 'int_168', 'int_206', 'ext_55', 'int_206', 'int_168', 'ext_55', 'ext_55', 'ext_55', 'ext_55', 'int_206', 'int_168', 'ext_55', 'int_206', 'int_168', 'ext_55', 'int_206', 'int_168', 'ext_55', 'ext_55', 'int_206', 'int_168', 'int_206', 'int_168', 'ext_55', 'ext_55', 'int_206', 'int_168', 'ext_55', 'int_206', 'int_168', 'int_206', 'int_168', 'ext_55', 'ext_55']",64.0
37,int_241,11,,,
38,int_254,3,int_254,"['ext_128', 'int_153', 'int_256', 'int_255', 'int_153', 'int_256', 'int_255', 'ext_128', 'int_153', 'int_256', 'int_255', 'ext_128', 'ext_128', 'ext_128', 'int_153', 'int_256', 'int_255', 'ext_128', 'ext_128', 'int_153', 'int_256', 'int_255', 'ext_128', 'int_153', 'int_256', 'int_255', 'ext_128', 'int_153', 'int_256', 'int_255', 'int_254', 'int_254', 'int_254', 'int_254', 'int_254', 'int_254', 'int_254', 'ext_128', 'ext_128', 'int_256', 'int_153', 'ext_128', 'ext_128', 'int_255', 'ext_128', 'ext_128', 'ext_128', 'ext_128', 'ext_128', 'ext_128', 'ext_128', 'ext_128', 'ext_128', 'ext_128']",54.0
39,int_255,58,,,
40,int_256,78,int_256,"['int_255', 'int_254', 'int_298', 'int_255', 'int_254', 'int_298', 'int_255', 'int_254', 'int_298', 'int_255', 'int_254', 'int_298', 'int_255', 'int_254', 'int_298', 'int_255', 'int_254', 'int_298', 'int_255', 'int_254', 'int_298']",21.0
41,int_26,2,,,
42,int_271,24,,,
43,int_273,19,,,
44,int_274,43,,,
45,int_275,38,,,
46,int_276,12,,,
47,int_278,5,,,
48,int_28,1,,,
49,int_280,165,,,
50,int_284,31,,,
51,int_286,49,,,
52,int_289,55,,,
53,int_29,4,,,
54,int_291,145,int_291,"['int_42', 'int_105', 'int_42', 'int_105', 'int_42', 'int_42', 'int_105', 'int_42', 'int_105', 'int_42', 'int_105', 'int_105', 'int_42', 'int_105']",14.0
55,int_292,21,,,
56,int_293,51,,,
57,int_294,33,int_294,"['ext_43', 'ext_295', 'int_136', 'ext_43', 'ext_43', 'ext_295', 'ext_43', 'ext_43', 'ext_295', 'ext_43', 'ext_295', 'ext_43', 'ext_43', 'ext_295', 'ext_295', 'ext_43', 'ext_43', 'ext_43', 'ext_43', 'ext_43', 'ext_295', 'int_136', 'int_72', 'ext_43', 'ext_295', 'int_72', 'int_136', 'ext_43', 'int_72', 'ext_295', 'int_136', 'ext_43', 'int_72', 'ext_295', 'ext_43', 'ext_295', 'ext_43', 'ext_295', 'int_136', 'int_72', 'int_136', 'ext_43', 'int_72', 'ext_295', 'ext_43', 'ext_295', 'ext_43', 'ext_295', 'int_136', 'ext_43', 'int_72', 'ext_295', 'int_136', 'ext_43', 'int_72', 'ext_295', 'ext_43', 'ext_295']",58.0
58,int_296,32,,,
59,int_298,64,,,
60,int_307,156,int_307,"['ext_44', 'ext_44', 'ext_44', 'ext_44', 'ext_44', 'ext_44', 'ext_44', 'ext_44', 'ext_44', 'ext_44', 'ext_44', 'int_42', 'ext_44', 'ext_44', 'int_42', 'ext_44', 'ext_44', 'int_42', 'ext_44', 'int_42', 'ext_44', 'int_42', 'ext_44', 'int_42', 'ext_44', 'ext_44', 'int_42', 'ext_44', 'ext_44', 'int_42', 'int_42', 'int_42', 'int_42', 'int_42', 'int_42', 'int_42', 'int_42']",37.0
61,int_308,16,,,
62,int_310,15,,,
