num,Issue Id,Description,Assignee_Id,Assignee_email,Reporter_id,Reporter_email,Creation Date,Close Date,Estimated Time,Actual Time
1724,80462181,Portlet filter rest issue,,NA,3097752,int_2,2021-03-08T11:05:54.271Z,2021-03-08T13:32:51.498Z,0,0.0
1725,80461391,NBK - Security on PUSH notification,4545525.0,int_464,4828428,int_44,2021-03-08T10:57:58.499Z,2021-03-14T15:24:47.533Z,0,0.0
1726,80714132,as a system user i should be able to define multiple channels for inward and outward messages and replies,3918531.0,NA,2862200,int_28,2021-03-08T10:54:31.284Z,,0,0.0
1727,80460253,Android Anti-Reversing Defenses,3032843.0,NA,3032843,NA,2021-03-08T10:46:47.080Z,2021-03-11T05:52:20.687Z,0,0.0
1728,80458601,verify date format in MX messages,2958010.0,int_239,5050988,int_490,2021-03-08T10:29:35.093Z,2021-03-08T14:34:49.494Z,0,5400.0
1729,80458324,optimize get all users and remove role and email,2846116.0,int_248,2846116,int_248,2021-03-08T10:26:43.841Z,2021-03-08T11:23:11.074Z,0,0.0
1730,80457097,loki,3095560.0,int_4,3095560,int_4,2021-03-08T10:12:31.107Z,2021-03-08T10:17:25.254Z,0,0.0
1731,80456255,"Include core properties file, liquibase jar and ldap jar in the released artifact",2958010.0,int_239,2958010,int_239,2021-03-08T10:02:31.614Z,2021-03-08T10:54:32.078Z,0,1800.0
1732,80456059,move user info to session storage instead of local storage,2846116.0,int_248,2846116,int_248,2021-03-08T09:59:57.974Z,2021-03-08T13:59:59.525Z,0,0.0
1733,80879278,Enhancement - add new field to display amount with number format,,NA,3084296,int_42,2021-03-08T09:52:35.139Z,,0,0.0
1734,80454824,apply OptionIdentifier for double entry payments,3390466.0,NA,5730554,NA,2021-03-08T09:51:19.724Z,2021-03-09T08:20:49.369Z,28800,0.0
1735,80454775,The customer mobile number editable on customer mobile view,6116619.0,NA,5903443,NA,2021-03-08T09:50:46.893Z,2021-03-10T07:46:50.479Z,3600,3600.0
1736,80649753,All customer status displayed on customer mobile view when try to add new customer mobile,6116619.0,NA,5903443,NA,2021-03-08T09:47:14.059Z,2021-03-14T07:29:06.955Z,10800,10800.0
1737,80454432,All customer status displayed on customer mobile view when try to add new customer mobile,6116619.0,NA,5903443,NA,2021-03-08T09:47:14.059Z,2021-03-10T15:14:40.216Z,0,0.0
1738,80453742,integration failed after delete a chq from pdc,4351853.0,int_219,3632079,int_17,2021-03-08T09:39:53.542Z,2021-04-01T07:35:28.587Z,18000,9000.0
1739,80450149,Create a Postman collection for testing Dukhan required endpoints,3051671.0,NA,3051671,NA,2021-03-08T09:10:01.293Z,2021-03-09T08:01:41.078Z,0,0.0
1740,80448216,feat: #19 Handle the cycle when represents reject checks without cheque_summary table.,3062831.0,int_302,4131528,NA,2021-03-08T08:50:45.575Z,2021-03-08T15:47:23.048Z,18000,0.0
1741,80446640,follow up with uat,4902499.0,NA,4902499,NA,2021-03-08T08:30:41.647Z,2021-03-08T12:03:47.143Z,18000,18000.0
1742,80446505,(ChequebookRequest): prevent rejecting chequebook request if it was rejected,3220138.0,NA,3918459,int_257,2021-03-08T08:28:41.056Z,2021-03-08T12:55:16.032Z,1800,0.0
1743,80446401,Adding MailHog,4123273.0,int_48,3126895,NA,2021-03-08T08:26:57.227Z,2021-03-14T06:57:22.228Z,1200,1800.0
1744,80445648,Move Back-end controller changes to this project,3891855.0,NA,3891855,NA,2021-03-08T08:13:30.588Z,2021-03-08T10:54:19.423Z,7200,7200.0
